federal_account_code,object_class_code,fiscal_period,obligated_amt,outlay_amt,unliquidated_balance_amt
099-0001,11.1,1,1866.0,1297.0,569.0
099-0001,12.1,1,741.0,635.0,106.0
099-0001,13.1,1,1907.0,1152.0,755.0
099-0001,33.0,1,1890.0,1508.0,382.0
099-0002,11.1,1,94.0,59.0,35.0
099-0002,13.1,1,1366.0,1161.0,205.0
099-0002,12.1,1,640.0,548.0,92.0
099-0002,95.0,1,1117.0,849.0,268.0
099-0003,11.1,1,112.0,104.0,8.0
099-0003,95.0,1,1426.0,1043.0,383.0
099-0003,11.2,1,1873.0,1356.0,517.0
099-0003,12.1,1,1780.0,1634.0,146.0
099-0004,33.0,1,185.0,135.0,50.0
099-0004,25.0,1,1476.0,1330.0,146.0
099-0004,12.1,1,1059.0,969.0,90.0
099-0004,11.1,1,455.0,379.0,76.0
099-0001,13.1,2,617.0,457.0,160.0
099-0001,11.1,2,480.0,354.0,126.0
099-0001,25.0,2,1863.0,1502.0,361.0
099-0001,33.0,2,1264.0,799.0,465.0
099-0002,11.2,2,490.0,441.0,49.0
099-0002,33.0,2,1104.0,884.0,220.0
099-0002,95.0,2,352.0,288.0,64.0
099-0002,12.1,2,1312.0,974.0,338.0
099-0003,25.0,2,816.0,561.0,255.0
099-0003,95.0,2,1967.0,1697.0,270.0
099-0003,13.1,2,1533.0,1155.0,378.0
099-0003,12.1,2,1805.0,1218.0,587.0
099-0004,25.0,2,1742.0,1145.0,597.0
099-0004,31.0,2,1774.0,1509.0,265.0
099-0004,33.0,2,1124.0,789.0,335.0
099-0004,11.1,2,1780.0,1327.0,453.0
099-0001,31.0,3,961.0,679.0,282.0
099-0001,11.2,3,1340.0,1200.0,140.0
099-0001,95.0,3,1067.0,871.0,196.0
099-0001,25.0,3,202.0,166.0,36.0
099-0002,25.0,3,1767.0,1335.0,432.0
099-0002,95.0,3,705.0,475.0,230.0
099-0002,13.1,3,1280.0,886.0,394.0
099-0002,12.1,3,446.0,272.0,174.0
099-0003,33.0,3,415.0,389.0,26.0
099-0003,95.0,3,1152.0,791.0,361.0
099-0003,31.0,3,1015.0,778.0,237.0
099-0003,25.0,3,1032.0,661.0,371.0
099-0004,13.1,3,676.0,492.0,184.0
099-0004,95.0,3,1980.0,1584.0,396.0
099-0004,25.0,3,1871.0,1165.0,706.0
099-0004,11.2,3,1103.0,872.0,231.0
099-0001,95.0,4,701.0,534.0,167.0
099-0001,33.0,4,473.0,298.0,175.0
099-0001,11.2,4,1089.0,763.0,326.0
099-0001,13.1,4,341.0,257.0,84.0
099-0002,12.1,4,1402.0,949.0,453.0
099-0002,11.1,4,335.0,274.0,61.0
099-0002,95.0,4,103.0,72.0,31.0
099-0002,13.1,4,519.0,431.0,88.0
099-0003,33.0,4,1468.0,1111.0,357.0
099-0003,11.2,4,1466.0,1223.0,243.0
099-0003,11.1,4,857.0,685.0,172.0
099-0003,31.0,4,1773.0,1584.0,189.0
099-0004,13.1,4,755.0,471.0,284.0
099-0004,33.0,4,919.0,815.0,104.0
099-0004,95.0,4,322.0,203.0,119.0
099-0004,25.0,4,699.0,630.0,69.0
099-0001,31.0,5,610.0,449.0,161.0
099-0001,13.1,5,1170.0,853.0,317.0
099-0001,12.1,5,1565.0,1008.0,557.0
